3\xffX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
335,332,416,118,38,32
335,332,416,129,40,38
336,332,417,124,41,35
335,332,417,109,38,34
335,333,417,140,40,32
336,333,417,131,37,31
335,331,417,108,34,34
336,333,418,106,37,38
336,332,416,107,36,44
335,330,417,110,37,39
334,330,419,106,40,38
335,331,419,150,36,45
335,332,418,135,36,41
335,333,418,139,33,36
335,334,417,204,35,46
335,332,418,165,32,46
335,333,419,161,33,54
335,333,416,226,39,54
336,332,418,180,35,50
336,332,418,169,33,68
336,331,419,174,31,64
336,333,418,220,30,56
336,331,418,199,31,53
336,330,419,165,32,46
335,331,418,133,34,45
335,333,416,148,31,40
335,332,415,134,33,41
335,331,413,166,32,39
334,331,415,148,32,44
334,329,417,135,33,47
335,331,416,191,41,49
335,332,417,184,37,44
335,332,419,162,36,39
336,331,418,147,35,48
336,331,418,127,34,42
336,332,418,133,36,46
336,333,417,138,39,51
336,332,418,128,39,43
335,333,417,110,36,49
334,332,415,188,38,40
335,334,416,194,36,34
335,332,417,144,31,44
334,332,417,146,34,37
334,333,418,129,29,32
334,332,417,136,28,35
335,332,418,125,30,38
337,332,419,118,33,40
336,332,417,174,38,46
336,331,417,134,40,43
336,333,416,152,38,36
336,332,417,137,35,44
337,331,418,133,37,41
336,332,419,122,35,38
336,333,418,139,39,44
336,334,417,139,39,44
335,333,419,112,38,42
336,332,417,111,32,42
335,333,416,105,34,43
335,331,417,124,33,45
336,331,419,127,31,52
336,331,418,121,30,43
336,331,416,123,29,40
335,330,417,138,28,40
336,330,418,120,34,38
335,331,416,126,33,42
335,332,417,127,30,46
336,332,416,110,30,43
335,332,416,117,28,41
335,331,418,117,29,41
335,332,416,127,31,47
336,332,418,150,27,41
337,333,418,127,28,46
337,333,419,122,28,38
336,333,418,121,29,38
336,334,418,113,27,35
336,333,418,100,33,42
336,333,420,96,38,34
336,333,417,136,35,33
335,331,417,114,36,39
336,333,419,95,33,33
336,332,417,107,31,34
336,332,418,138,34,29
336,332,419,118,33,35
336,331,418,104,34,34
336,333,418,126,32,34
336,332,417,146,34,28
336,330,417,137,31,35
336,330,417,150,31,33
336,332,417,152,34,28
336,331,416,145,36,32
336,331,418,128,32,36
336,331,418,143,30,35
336,331,417,121,29,40
337,333,417,114,28,38
336,333,417,126,34,33
336,333,416,115,37,32
335,333,417,98,34,31
336,333,417,96,33,42
336,334,416,113,30,45
336,334,418,104,31,49
337,333,419,100,32,50
336,333,417,105,40,51
336,333,417,116,42,48
336,333,418,111,39,45
335,333,417,100,35,44
336,333,417,100,32,49
336,332,416,110,31,54
336,333,417,102,29,48
336,332,418,142,31,62
336,333,419,121,33,53
336,334,419,106,34,51
335,334,417,117,34,46
335,334,418,99,37,51
336,334,419,106,37,47
336,334,418,125,33,41
337,334,416,136,32,48
335,334,416,105,30,48
335,333,417,106,31,40
336,335,417,116,30,38
336,334,417,123,31,51
336,333,417,128,33,41
336,333,417,123,32,39
337,335,417,125,35,47
336,334,417,112,32,43
336,334,419,87,37,47
336,333,416,95,33,46
336,335,416,124,36,42
336,334,417,125,33,36
337,335,418,159,31,35
337,334,418,159,31,43
336,336,418,140,33,40
336,335,418,130,32,38
337,335,417,120,34,40
337,337,420,116,32,36
337,335,419,130,31,43
335,335,416,131,34,38
334,333,415,111,37,36
334,333,414,120,35,41
335,332,416,121,38,41
335,333,418,117,34,44
336,333,417,134,39,47
336,334,417,133,34,38
336,334,418,122,31,42
337,336,419,127,31,49
336,338,417,130,31,51
335,336,415,131,29,46
336,337,418,126,29,50
336,334,420,100,29,49
335,335,418,81,30,48
335,335,417,89,29,49
335,333,417,114,27,39
335,332,419,87,27,40
336,333,418,96,26,41
336,333,418,95,25,40
335,333,417,88,25,43
335,333,415,91,28,36
334,333,416,90,30,33
334,332,416,96,28,31
335,331,416,115,27,31
334,331,417,96,30,38
336,335,417,117,37,33
336,334,417,119,33,34
335,333,418,105,31,32
338,338,422,115,34,33
337,338,419,128,32,40
336,336,416,168,29,40
335,334,417,145,29,46
335,334,416,149,30,39
336,335,418,141,30,35
335,333,418,111,29,43
335,333,418,124,26,37
335,334,417,171,33,40
334,334,416,152,35,42
334,334,416,131,32,45
334,334,418,137,30,52
335,334,417,125,32,42
334,332,418,109,32,50
334,333,417,105,31,46
334,333,415,85,31,47
335,334,416,99,30,39
334,333,416,86,29,37
335,333,416,118,30,50
335,334,418,126,27,47
334,333,416,128,31,51
334,332,417,131,32,48
335,332,417,136,34,47
335,332,418,126,34,39
335,334,420,98,32,40
335,335,420,112,37,38
334,336,419,116,37,33
336,336,418,108,33,35
336,335,418,113,45,34
334,334,418,114,44,30
335,335,419,100,38,36
335,334,417,86,41,39
335,334,417,95,55,34
335,335,417,94,49,32
335,333,418,104,43,28
335,334,418,92,41,26
335,335,419,89,42,23
335,334,417,82,38,30
334,333,418,80,36,28
335,335,416,78,35,28
335,334,415,79,36,29
335,333,418,88,34,36
334,333,419,86,32,33
335,333,418,87,33,32
334,333,416,87,32,32
334,333,416,94,33,41
334,334,416,131,34,37
334,334,418,102,34,38
335,335,419,122,35,35
334,335,417,99,35,33
335,334,417,108,34,41
335,334,418,106,32,42
335,333,418,111,30,46
335,333,419,117,30,39
336,334,418,126,27,40
336,334,419,121,29,44
335,335,418,122,32,49
335,336,416,111,32,45
334,336,414,102,30,45
335,334,417,92,28,57
335,333,418,79,29,47
335,333,418,80,27,48
336,333,418,93,31,46
335,336,416,97,30,45
335,335,418,87,33,40
335,335,418,130,32,37
335,334,417,122,30,35
336,334,418,99,32,32
335,334,417,112,36,37
336,334,417,106,36,38
