\xf1X axis acceleration,Y axis acceleration,Bicep signal,Shoulder signal,Tricep signal,Forearm signal
540,482,5,22,25,16
540,482,5,26,27,15
540,481,5,29,27,15
541,481,5,28,29,14
541,482,5,25,27,14
541,481,5,27,28,13
539,482,5,26,27,14
541,482,5,29,28,14
540,482,5,33,27,13
540,482,5,30,24,14
539,482,5,31,25,16
540,482,5,32,25,16
539,482,5,32,30,19
539,481,5,30,28,20
539,482,5,28,25,20
539,482,5,29,24,18
540,482,5,30,21,18
539,482,6,29,20,18
539,481,5,31,19,21
540,482,6,31,20,20
540,482,6,32,19,21
540,482,5,29,16,23
540,482,6,27,18,25
540,482,5,26,19,26
540,482,5,26,21,26
540,482,6,28,20,25
541,481,5,30,20,23
540,481,5,29,18,20
541,482,5,29,19,19
540,480,6,32,17,19
540,483,5,29,17,19
540,480,6,27,18,17
541,481,6,35,21,17
540,482,6,33,20,16
540,481,5,35,25,15
539,482,6,36,32,14
540,482,6,34,29,14
540,482,5,32,25,14
540,482,5,31,26,14
540,482,5,36,22,14
539,483,5,35,24,13
540,482,5,34,20,12
539,482,5,35,18,12
539,482,5,33,20,12
539,483,5,29,19,12
539,482,6,32,21,13
540,483,6,33,23,13
540,482,6,30,26,13
540,481,6,27,24,13
539,482,6,28,25,13
540,482,6,33,24,14
540,482,6,32,24,14
539,481,5,32,22,13
539,482,6,37,26,13
540,482,6,34,25,13
540,482,6,33,29,13
540,481,6,34,30,13
541,482,5,35,27,13
540,481,5,35,30,13
539,482,6,34,28,13
539,481,4,34,25,13
540,482,5,33,24,13
539,483,5,33,34,15
540,482,6,34,29,15
540,481,5,32,29,19
539,482,5,32,29,23
540,482,6,28,26,25
539,482,5,32,27,23
540,482,5,29,25,21
539,482,5,30,24,19
540,482,5,29,25,17
540,481,5,33,22,18
540,481,5,29,21,17
540,482,5,28,19,16
541,481,6,34,25,16
540,481,6,38,24,17
540,481,5,34,22,20
540,481,6,36,19,23
540,482,6,38,18,25
539,482,6,42,24,26
540,481,6,43,28,26
540,482,5,50,32,25
540,482,6,51,32,27
540,481,6,49,29,26
539,482,6,51,32,24
539,481,5,45,35,25
540,481,5,47,42,24
539,481,4,45,40,22
538,482,5,42,40,23
538,482,5,46,38,21
540,483,5,45,37,22
540,482,5,50,40,20
539,481,5,50,41,19
540,481,5,45,43,19
540,482,5,44,41,17
540,482,5,45,46,17
539,482,6,46,42,21
540,481,5,43,37,27
539,480,6,38,36,30
540,482,5,46,44,29
541,482,5,43,46,27
540,480,5,48,45,25
537,480,6,46,42,22
540,481,5,43,46,20
539,483,7,49,49,18
540,483,6,44,48,16
541,484,6,50,46,16
540,480,6,46,48,15
540,481,6,42,46,15
541,482,6,51,44,14
539,483,5,49,46,14
540,481,5,45,47,14
539,482,5,51,43,14
539,483,5,50,50,13
540,481,5,62,56,14
539,481,5,54,57,13
540,481,5,57,53,14
539,482,6,58,66,13
540,482,5,63,59,13
541,483,5,69,60,13
540,482,5,57,54,13
540,482,5,69,58,13
541,482,6,62,56,14
539,482,6,63,50,14
540,481,4,74,56,16
539,482,6,72,53,17
540,483,6,66,47,17
539,483,7,67,51,16
541,481,7,68,53,15
541,480,6,70,55,15
539,481,7,73,49,15
538,484,7,74,43,14
541,483,9,89,54,14
539,482,11,96,65,13
540,483,12,90,65,14
541,482,13,85,84,14
540,485,15,80,90,17
540,480,15,73,94,15
540,479,18,73,113,15
540,483,19,78,124,16
540,484,16,81,135,20
541,485,13,75,134,22
539,480,13,73,140,23
540,480,11,81,143,23
540,480,10,79,136,27
540,481,10,75,139,27
539,481,9,72,132,28
540,482,8,72,129,31
539,482,7,77,114,34
540,482,7,74,122,36
539,482,7,85,103,37
