8\xfcX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
346,338,417,14,33,51
345,339,418,14,33,44
345,339,418,13,32,44
345,338,419,14,32,45
344,337,418,14,32,45
345,337,418,12,30,46
345,339,418,13,31,44
345,338,417,13,29,45
345,338,418,15,30,48
344,338,418,14,29,48
344,338,417,14,28,50
345,338,418,13,25,47
345,338,418,13,26,45
344,338,417,14,26,40
344,337,418,13,26,36
346,339,419,14,25,34
344,338,418,14,26,33
344,338,418,13,25,31
344,338,419,14,24,30
344,338,418,12,26,30
345,338,418,13,25,29
344,337,418,12,25,27
344,338,417,13,26,26
344,338,418,12,25,26
345,339,419,13,23,24
344,337,417,13,25,24
345,338,418,12,25,25
344,338,418,13,27,27
345,338,417,13,28,27
345,338,417,12,29,30
344,338,418,13,27,30
345,338,418,13,27,33
345,338,418,14,27,36
345,338,418,13,27,39
345,338,418,13,27,38
345,338,418,13,27,37
344,337,417,14,28,34
344,337,417,13,26,31
345,338,419,14,26,28
344,338,417,13,24,32
345,337,417,13,22,35
344,338,417,13,20,52
344,337,419,14,20,42
345,338,418,13,23,35
344,338,418,13,27,29
345,338,419,13,35,24
344,338,418,14,44,20
345,338,417,14,53,20
345,339,419,15,65,20
345,337,418,16,79,24
345,338,418,18,94,27
345,339,419,21,108,35
345,338,418,24,123,45
345,338,418,31,141,56
345,337,418,35,157,68
345,338,418,42,175,79
345,338,418,48,191,89
345,338,418,55,207,99
344,336,418,59,222,111
344,338,418,66,239,121
345,338,418,68,254,130
345,339,418,72,266,141
345,338,418,79,279,152
344,338,418,83,291,160
346,338,418,89,304,170
346,339,418,94,314,175
344,337,418,99,321,180
344,337,419,107,330,184
344,338,418,116,340,189
345,338,418,119,345,189
344,338,418,122,350,186
344,337,418,127,357,187
345,339,419,132,361,189
345,339,418,136,363,192
345,338,418,138,368,193
345,337,418,140,369,192
344,338,418,144,370,179
344,339,418,145,368,209
344,337,418,148,365,210
345,337,418,150,360,192
345,338,418,153,353,172
345,338,418,154,348,159
345,338,418,158,340,146
345,337,418,160,330,134
345,338,417,161,319,122
344,338,418,162,310,109
345,338,417,160,296,100
345,337,418,161,282,90
345,338,418,163,272,84
345,337,419,166,261,77
344,338,418,166,252,71
345,338,418,167,243,65
345,337,418,169,235,58
345,338,419,172,226,53
344,338,417,174,219,50
345,338,418,176,212,43
344,337,417,177,207,40
345,338,418,182,201,37
345,338,419,185,196,33
345,338,417,188,187,27
344,338,417,188,182,23
346,339,418,191,176,20
344,338,418,190,172,18
345,338,418,189,169,18
344,338,417,183,164,19
344,338,418,178,159,30
345,337,417,175,156,39
344,339,418,170,148,43
345,338,418,163,143,47
344,337,418,161,138,49
345,338,418,155,128,52
345,338,418,149,120,59
345,338,418,144,116,76
344,337,418,139,110,67
344,339,418,129,103,61
345,338,419,124,97,76
345,339,418,116,94,88
344,338,418,109,90,96
344,337,418,101,88,104
345,339,418,94,84,108
344,338,419,87,81,116
344,338,418,80,75,122
344,338,418,73,70,129
345,338,417,63,64,131
345,338,418,57,58,134
346,338,417,49,52,131
344,338,419,42,44,128
345,339,419,37,38,126
345,339,418,31,32,125
345,338,419,27,27,126
345,337,417,23,27,127
345,339,417,20,27,128
345,338,418,19,26,126
344,337,418,16,28,126
344,338,417,16,32,127
344,338,418,15,33,124
344,338,418,14,39,125
345,338,418,15,43,123
345,339,417,15,43,125
345,338,418,17,48,122
344,337,418,17,50,123
344,337,418,19,51,123
345,338,417,24,51,123
346,338,418,25,51,130
345,340,418,30,54,130
345,338,419,33,54,128
345,337,419,33,55,126
344,338,418,34,55,122
345,338,418,37,57,118
344,338,417,40,58,117
345,338,418,42,60,125
344,338,417,46,62,92
344,338,418,49,62,90
346,338,418,53,64,97
345,338,417,54,63,105
